"region.name","region.code","state.fips","state.usps","state.name"
"Unclassified","0","00","US","Unclassified"
"Southeast","5","01","AL","Alabama"
"Far West","8","02","AK","Alaska"
"Southwest","6","04","AZ","Arizona"
"Southeast","5","05","AR","Arkansas"
"Far West","8","06","CA","California"
"Rocky Mountain","7","08","CO","Colorado"
"New England","1","09","CT","Connecticut"
"Mideast","2","10","DE","Delaware"
"Mideast","2","11","DC","District of Columbia"
"Southeast","5","12","FL","Florida"
"Southeast","5","13","GA","Georgia"
"Far West","8","15","HI","Hawaii"
"Rocky Mountain","7","16","ID","Idaho"
"Great Lakes","3","17","IL","Illinois"
"Great Lakes","3","18","IN","Indiana"
"Plains","4","19","IA","Iowa"
"Plains","4","20","KS","Kansas"
"Southeast","5","21","KY","Kentucky"
"Southeast","5","22","LA","Louisiana"
"New England","1","23","ME","Maine"
"Mideast","2","24","MD","Maryland"
"New England","1","25","MA","Massachusetts"
"Great Lakes","3","26","MI","Michigan"
"Plains","4","27","MN","Minnesota"
"Southeast","5","28","MS","Mississippi"
"Plains","4","29","MO","Missouri"
"Rocky Mountain","7","30","MT","Montana"
"Plains","4","31","NE","Nebraska"
"Far West","8","32","NV","Nevada"
"New England","1","33","NH","New Hampshire"
"Mideast","2","34","NJ","New Jersey"
"Southwest","6","35","NM","New Mexico"
"Mideast","2","36","NY","New York"
"Southeast","5","37","NC","North Carolina"
"Plains","4","38","ND","North Dakota"
"Great Lakes","3","39","OH","Ohio"
"Southwest","6","40","OK","Oklahoma"
"Far West","8","41","OR","Oregon"
"Mideast","2","42","PA","Pennsylvania"
"New England","1","44","RI","Rhode Island"
"Southeast","5","45","SC","South Carolina"
"Plains","4","46","SD","South Dakota"
"Southeast","5","47","TN","Tennessee"
"Southwest","6","48","TX","Texas"
"Rocky Mountain","7","49","UT","Utah"
"New England","1","50","VT","Vermont"
"Southeast","5","51","VA","Virginia"
"Far West","8","53","WA","Washington"
"Southeast","5","54","WV","West Virginia"
"Great Lakes","3","55","WI","Wisconsin"
"Rocky Mountain","7","56","WY","Wyoming"
