"region.name","state.fips","state.usps","state.name"
"All Other","","",""
"Central","17","IL","Illinois"
"Central","18","IN","Indiana"
"Central","21","KY","Kentucky"
"Central","29","MO","Missouri"
"Central","39","OH","Ohio"
"Central","47","TN","Tennessee"
"Central","54","WV","West Virginia"
"East North Central","19","IA","Iowa"
"East North Central","26","MI","Michigan"
"East North Central","27","MN","Minnesota"
"East North Central","55","WI","Wisconsin"
"Northeast","09","CT","Connecticut"
"Northeast","10","DE","Delaware"
"Northeast","23","ME","Maine"
"Northeast","24","MD","Maryland"
"Northeast","25","MA","Massachusetts"
"Northeast","33","NH","New Hampshire"
"Northeast","34","NJ","New Jersey"
"Northeast","36","NY","New York"
"Northeast","42","PA","Pennsylvania"
"Northeast","44","RI","Rhode Island"
"Northeast","50","VT","Vermont"
"Northwest","16","ID","Idaho"
"Northwest","41","OR","Oregon"
"Northwest","53","WA","Washington"
"South","05","AR","Arkansas"
"South","20","KS","Kansas"
"South","22","LA","Louisiana"
"South","28","MS","Mississippi"
"South","40","OK","Oklahoma"
"South","48","TX","Texas"
"Southeast","01","AL","Alabama"
"Southeast","12","FL","Florida"
"Southeast","13","GA","Georgia"
"Southeast","37","NC","North Carolina"
"Southeast","45","SC","South Carolina"
"Southeast","51","VA","Virginia"
"Southwest","04","AZ","Arizona"
"Southwest","08","CO","Colorado"
"Southwest","35","NM","New Mexico"
"Southwest","49","UT","Utah"
"West","06","CA","California"
"West","32","NV","Nevada"
"West North Central","30","MT","Montana"
"West North Central","31","NE","Nebraska"
"West North Central","38","ND","North Dakota"
"West North Central","46","SD","South Dakota"
"West North Central","56","WY","Wyoming"
